GPA,Course_Scores,Aptitude_Score,Attendance,Supervisor_Evaluation,Report_Quality,Activity_Log_Frequency,Completion_Time,Feedback_Rating,Performance,Intern_ID,Performance_Score
2.54,21.5,31.3,86.5,7.72,3.69,14,3.26,4.09,Good,INT0001,70.98
0.66,21.1,11.5,59.23,0.83,0.3,8,3.92,1.33,Fair,INT0002,42.16
0.39,29.7,9.9,42.98,4.68,3.84,12,5.78,2.87,Fair,INT0003,49.89
2.31,47.9,42.0,83.16,1.07,6.61,6,4.28,1.43,Average,INT0004,68.49
2.37,35.7,36.1,74.1,2.28,0.72,11,1.53,1.91,Good,INT0005,77.51
3.29,91.5,67.7,86.93,3.65,5.09,8,2.07,2.46,Excellent,INT0006,97.98
3.39,74.8,75.4,98.06,2.0,6.48,9,1.24,1.8,Good,INT0007,72.22
0.31,25.2,15.7,55.83,5.95,2.62,1,5.86,3.38,Average,INT0008,55.62
1.37,41.4,11.9,85.48,5.12,5.97,10,4.23,3.05,Good,INT0009,79.96
2.07,16.3,8.6,61.52,2.6,5.09,11,5.31,2.04,Average,INT0010,65.64
3.85,95.3,88.2,0.0,8.35,6.93,19,1.0,4.34,Excellent,INT0011,95.37
1.66,19.3,31.3,31.05,2.3,3.21,11,7.0,1.92,Average,INT0012,59.55
2.78,57.5,27.3,56.8,4.28,7.19,14,5.9,2.71,Good,INT0013,73.69
3.19,96.5,93.9,65.99,0.83,4.97,9,1.98,1.33,Average,INT0014,68.94
1.94,74.5,81.2,67.1,0.03,7.16,14,2.22,1.01,Good,INT0015,73.52
0.94,56.1,37.5,94.98,0.0,1.62,14,1.84,1.0,Average,INT0016,66.79
1.3,13.2,38.1,87.09,0.0,1.62,14,2.82,1.0,Fair,INT0017,52.54
1.68,9.5,22.8,98.61,6.4,0.57,3,3.92,3.56,Average,INT0018,59.46
0.81,62.2,16.2,8.47,0.0,0.87,4,3.54,1.0,Average,INT0019,56.65
1.15,28.1,63.2,26.47,4.68,2.43,14,3.05,2.87,Average,INT0020,58.19
0.8,52.9,49.6,66.38,0.0,3.53,10,4.39,1.0,Fair,INT0021,53.18
1.2,27.5,4.0,42.26,2.0,2.26,6,2.24,1.8,Average,INT0022,56.06
3.54,99.6,87.3,66.32,10.0,9.54,17,3.04,5.0,Excellent,INT0023,86.84
0.78,21.1,40.4,83.65,2.08,2.25,7,3.03,1.83,Average,INT0024,56.18
3.47,74.4,56.4,76.54,9.35,1.91,13,3.42,4.74,Good,INT0025,81.34
0.31,6.9,66.4,69.27,0.0,1.88,10,5.49,1.0,Fair,INT0026,43.09
3.12,92.6,96.9,57.45,8.62,5.78,14,2.03,4.45,Good,INT0027,84.88
1.54,80.5,59.2,51.11,6.42,7.31,13,4.15,3.57,Good,INT0028,78.32
1.4,30.1,44.3,60.94,4.05,0.94,11,4.1,2.62,Average,INT0029,64.94
3.27,67.4,61.7,3.33,10.0,6.61,16,1.69,5.0,Good,INT0030,78.86
2.18,79.8,31.8,89.27,2.05,6.46,12,4.25,1.82,Fair,INT0031,50.05
3.38,91.7,48.4,55.62,10.0,8.37,9,1.8,5.0,Excellent,INT0032,86.89
3.71,63.4,90.4,86.21,10.0,8.34,16,1.0,5.0,Excellent,INT0033,100.0
3.3,34.0,86.9,69.28,8.45,4.14,13,6.45,4.38,Average,INT0034,69.46
1.06,83.3,80.6,24.4,4.1,3.08,7,7.0,2.64,Average,INT0035,58.41
0.59,41.6,65.1,90.64,2.95,3.61,10,5.97,2.18,Average,INT0036,55.13
2.89,88.2,25.2,78.98,10.0,9.14,17,2.56,5.0,Excellent,INT0037,94.96
0.8,60.8,6.5,61.79,4.93,1.92,16,1.96,2.97,Average,INT0038,63.74
0.74,14.5,66.4,94.73,7.62,2.32,12,5.41,4.05,Average,INT0039,65.78
0.76,9.7,63.0,52.26,5.0,0.49,13,3.89,3.0,Fair,INT0040,41.81
3.85,84.2,91.0,60.09,4.22,9.27,15,2.08,2.69,Excellent,INT0041,90.93
2.58,64.4,27.3,87.6,0.0,2.62,14,4.09,1.0,Fair,INT0042,52.86
2.5,76.4,82.3,1.76,0.0,2.3,15,1.21,1.0,Good,INT0043,73.71
2.89,48.4,50.8,64.46,3.08,4.84,16,6.33,2.23,Fair,INT0044,52.61
2.41,65.3,86.5,66.83,9.65,6.39,5,2.27,4.86,Good,INT0045,77.14
1.16,85.3,17.2,92.9,5.7,4.33,5,5.04,3.28,Good,INT0046,74.13
2.57,40.7,52.1,65.68,0.0,6.26,16,3.26,1.0,Average,INT0047,56.28
0.16,32.9,66.8,59.79,2.0,1.43,9,4.21,1.8,Fair,INT0048,45.0
2.39,88.0,81.1,41.66,7.08,3.43,10,4.7,3.83,Good,INT0049,77.46
3.78,98.1,95.2,95.51,10.0,9.55,11,1.97,5.0,Excellent,INT0050,100.0
1.35,38.1,39.3,52.18,5.6,1.94,7,7.0,3.24,Average,INT0051,57.6
2.08,49.1,58.0,88.29,6.6,9.61,9,5.8,3.64,Average,INT0052,66.46
0.71,72.4,76.1,52.53,10.0,2.83,12,6.81,5.0,Good,INT0053,72.34
1.02,62.5,16.8,71.27,0.0,0.46,10,6.52,1.0,Average,INT0054,55.67
2.4,28.9,22.2,87.2,9.25,7.76,14,4.31,4.7,Average,INT0055,64.48
1.36,16.4,25.2,98.29,2.28,3.25,6,6.17,1.91,Average,INT0056,63.22
1.76,85.5,60.8,61.46,1.98,6.59,16,2.01,1.79,Good,INT0057,76.85
2.42,46.6,37.6,57.18,9.75,8.5,16,1.73,4.9,Good,INT0058,77.79
2.34,35.1,84.4,6.07,2.77,3.93,8,1.24,2.11,Excellent,INT0059,89.23
3.01,62.9,60.9,83.45,7.18,1.78,10,2.88,3.87,Good,INT0060,71.0
0.98,23.2,44.2,71.9,4.58,6.45,10,3.19,2.83,Average,INT0061,60.83
0.47,9.7,3.3,78.66,4.38,0.58,7,2.91,2.75,Fair,INT0062,52.59
0.48,55.5,72.0,4.95,9.82,8.3,10,6.22,4.93,Average,INT0063,66.57
2.18,52.3,78.8,88.65,1.8,5.74,9,3.55,1.72,Average,INT0064,60.7
1.7,49.5,71.1,95.99,0.0,6.42,19,2.59,1.0,Average,INT0065,69.42
2.91,91.4,58.1,44.68,8.55,4.51,7,4.32,4.42,Average,INT0066,66.73
1.92,72.6,80.9,64.67,1.8,9.43,14,2.24,1.72,Good,INT0067,78.72
1.0,71.8,77.3,60.28,2.52,2.81,7,6.3,2.01,Average,INT0068,68.4
3.28,45.1,84.7,70.79,7.02,6.32,18,1.92,3.81,Good,INT0069,80.42
3.7,25.1,72.9,79.73,6.45,7.29,8,7.0,3.58,Good,INT0070,74.88
2.26,52.2,81.6,71.0,10.0,2.5,15,5.27,5.0,Good,INT0071,71.83
2.38,89.1,74.2,36.28,3.08,3.05,12,1.71,2.23,Good,INT0072,80.07
3.03,43.2,44.6,4.77,1.35,6.52,18,1.36,1.54,Excellent,INT0073,85.98
0.42,41.1,71.9,84.55,2.52,5.32,14,6.23,2.01,Average,INT0074,56.38
2.3,48.8,71.8,63.3,4.82,9.53,20,5.49,2.93,Good,INT0075,84.76
0.16,17.3,32.7,74.67,2.25,7.66,6,5.15,1.9,Fair,INT0076,49.77
1.53,16.1,17.6,58.26,0.0,0.24,1,5.77,1.0,Fair,INT0077,43.04
3.49,50.4,82.1,70.73,3.92,8.17,13,1.26,2.57,Good,INT0078,74.32
1.94,15.7,83.0,89.31,0.0,1.96,10,3.92,1.0,Average,INT0079,57.35
3.49,57.9,81.9,70.64,10.0,6.59,7,1.58,5.0,Excellent,INT0080,95.12
0.88,14.5,88.2,84.83,0.88,3.83,7,6.59,1.35,Average,INT0081,66.09
1.63,57.9,51.0,75.36,9.57,3.07,5,4.47,4.83,Good,INT0082,70.45
3.57,74.1,87.6,37.83,8.55,3.39,8,3.07,4.42,Good,INT0083,77.46
3.01,81.6,73.6,89.81,6.98,1.86,8,1.24,3.79,Good,INT0084,84.33
0.28,5.8,9.6,54.21,2.32,3.79,5,3.03,1.93,Fair,INT0085,48.26
1.18,83.9,93.7,76.24,8.12,8.16,14,3.01,4.25,Good,INT0086,73.87
2.88,60.8,29.2,60.44,9.15,4.17,6,5.8,4.66,Average,INT0087,67.3
1.06,29.7,18.2,1.95,1.67,1.31,13,4.43,1.67,Fair,INT0088,54.52
0.97,56.1,26.5,75.15,5.07,8.3,5,3.92,3.03,Good,INT0089,70.27
